Fecha,Producto,Categoría,precio,Cantidad,Total
3/24/2026,Monitor,Tecnologia,$702.39 ,2,"$1,404.78 "
3/26/2026,Teclado,Tecnologia,$573.87 ,1,$573.87 
3/19/2026,Audifonos,Audio,$725.79 ,1,$725.79 
3/22/2026,Teclado,Tecnologia,$273.84 ,10,"$2,738.40 "
4/1/2026,Monitor,Tecnologia,$976.84 ,9,"$8,791.56 "
3/22/2026,Monitor,Tecnologia,$185.93 ,1,$185.93 
4/14/2026,Laptop,Tecnologia,$181.30 ,2,$362.60 
4/5/2026,Laptop,Tecnologia,$646.44 ,9,"$5,817.96 "
3/28/2026,Teclado,Tecnologia,$879.79 ,4,"$3,519.16 "
3/25/2026,Audifonos,Audio,$344.02 ,1,$344.02 
3/20/2026,Laptop,Tecnologia,$402.73 ,4,"$1,610.92 "
4/7/2026,Teclado,Tecnologia,$594.66 ,8,"$4,757.28 "
3/17/2026,Monitor,Tecnologia,$845.41 ,2,"$1,690.82 "
4/15/2026,Laptop,Tecnologia,$116.69 ,8,$933.52 
3/21/2026,Laptop,Tecnologia,$992.98 ,1,$992.98 
3/18/2026,Laptop,Tecnologia,$255.80 ,1,$255.80 
3/25/2026,Audifonos,Audio,$595.40 ,3,"$1,786.20 "
3/27/2026,Laptop,Tecnologia,$710.00 ,4,"$2,840.00 "
3/26/2026,Teclado,Tecnologia,$842.50 ,6,"$5,055.00 "
3/22/2026,Mouse,Accesorios,$954.67 ,8,"$7,637.36 "
4/12/2026,Monitor,Tecnologia,$88.93 ,7,$622.51 
3/24/2026,Mouse,Accesorios,$717.51 ,5,"$3,587.55 "
4/6/2026,Audifonos,Audio,$979.20 ,8,"$7,833.60 "
3/25/2026,Audifonos,Audio,$453.57 ,7,"$3,174.99 "
3/21/2026,Teclado,Tecnologia,$472.67 ,9,"$4,254.03 "
3/25/2026,Teclado,Tecnologia,$870.26 ,7,"$6,091.82 "
4/14/2026,Mouse,Accesorios,$768.53 ,6,"$4,611.18 "
3/25/2026,Audifonos,Audio,$552.32 ,4,"$2,209.28 "
3/26/2026,Audifonos,Audio,$280.82 ,5,"$1,404.10 "
4/8/2026,Audifonos,Audio,$236.82 ,9,"$2,131.38 "
4/7/2026,Audifonos,Audio,$763.41 ,4,"$3,053.64 "
4/15/2026,Mouse,Accesorios,$438.20 ,2,$876.40 
3/23/2026,Monitor,Tecnologia,$185.04 ,3,$555.12 
4/8/2026,Audifonos,Audio,$973.24 ,4,"$3,892.96 "
3/22/2026,Laptop,Tecnologia,$804.27 ,6,"$4,825.62 "
4/9/2026,Audifonos,Audio,$486.04 ,2,$972.08 
4/2/2026,Monitor,Tecnologia,$144.52 ,5,$722.60 
3/21/2026,Audifonos,Audio,$723.06 ,5,"$3,615.30 "
3/30/2026,Monitor,Tecnologia,$969.05 ,9,"$8,721.45 "
4/13/2026,Laptop,Tecnologia,$358.12 ,2,$716.24 
4/7/2026,Monitor,Tecnologia,$355.94 ,5,"$1,779.70 "
4/1/2026,Audifonos,Audio,$217.36 ,1,$217.36 
3/25/2026,Mouse,Accesorios,$623.16 ,5,"$3,115.80 "
3/27/2026,Mouse,Accesorios,$904.27 ,7,"$6,329.89 "
4/10/2026,Teclado,Tecnologia,$303.48 ,9,"$2,731.32 "
3/23/2026,Laptop,Tecnologia,$424.68 ,9,"$3,822.12 "
3/22/2026,Teclado,Tecnologia,$319.54 ,4,"$1,278.16 "
4/10/2026,Teclado,Tecnologia,$361.77 ,2,$723.54 
4/10/2026,Audifonos,Audio,$658.81 ,6,"$3,952.86 "
3/25/2026,Audifonos,Audio,$651.07 ,2,"$1,302.14 "
3/29/2026,Mouse,Accesorios,$848.62 ,3,"$2,545.86 "
4/8/2026,Laptop,Tecnologia,$55.44 ,5,$277.20 
3/26/2026,Laptop,Tecnologia,$431.12 ,6,"$2,586.72 "
4/4/2026,Monitor,Tecnologia,$440.09 ,5,"$2,200.45 "
3/18/2026,Monitor,Tecnologia,$388.33 ,9,"$3,494.97 "
3/27/2026,Audifonos,Audio,$597.58 ,6,"$3,585.48 "
4/8/2026,Audifonos,Audio,$767.09 ,5,"$3,835.45 "
4/9/2026,Teclado,Tecnologia,$522.80 ,4,"$2,091.20 "
4/11/2026,Teclado,Tecnologia,$204.10 ,2,$408.20 
4/5/2026,Laptop,Tecnologia,$938.00 ,10,"$9,380.00 "
3/25/2026,Mouse,Accesorios,$200.90 ,7,"$1,406.30 "
3/20/2026,Mouse,Accesorios,$917.76 ,9,"$8,259.84 "
3/26/2026,Monitor,Tecnologia,$848.86 ,4,"$3,395.44 "
3/25/2026,Monitor,Tecnologia,$264.00 ,1,$264.00 
4/9/2026,Audifonos,Audio,$354.22 ,3,"$1,062.66 "
4/7/2026,Teclado,Tecnologia,$931.00 ,1,$931.00 
4/8/2026,Laptop,Tecnologia,$263.03 ,10,"$2,630.30 "
4/9/2026,Mouse,Accesorios,$850.38 ,9,"$7,653.42 "
4/13/2026,Audifonos,Audio,$236.23 ,2,$472.46 
3/28/2026,Audifonos,Audio,$106.10 ,6,$636.60 
3/22/2026,Mouse,Accesorios,$424.56 ,9,"$3,821.04 "
3/26/2026,Monitor,Tecnologia,$459.46 ,2,$918.92 
3/19/2026,Teclado,Tecnologia,$993.62 ,10,"$9,936.20 "
4/9/2026,Laptop,Tecnologia,$124.10 ,10,"$1,241.00 "
3/28/2026,Audifonos,Audio,$698.86 ,10,"$6,988.60 "
4/12/2026,Monitor,Tecnologia,$891.02 ,6,"$5,346.12 "
3/30/2026,Mouse,Accesorios,$210.57 ,2,$421.14 
3/23/2026,Teclado,Tecnologia,$53.56 ,2,$107.12 
4/12/2026,Mouse,Accesorios,$688.87 ,5,"$3,444.35 "
3/22/2026,Teclado,Tecnologia,$382.39 ,4,"$1,529.56 "
4/13/2026,Audifonos,Audio,$458.75 ,7,"$3,211.25 "
4/8/2026,Laptop,Tecnologia,$150.54 ,4,$602.16 
4/14/2026,Audifonos,Audio,$235.02 ,10,"$2,350.20 "
4/6/2026,Audifonos,Audio,$258.36 ,7,"$1,808.52 "
3/19/2026,Audifonos,Audio,$747.34 ,6,"$4,484.04 "
3/24/2026,Audifonos,Audio,$908.58 ,1,$908.58 
4/4/2026,Teclado,Tecnologia,$365.23 ,2,$730.46 
4/3/2026,Teclado,Tecnologia,$181.24 ,3,$543.72 
3/30/2026,Monitor,Tecnologia,$323.03 ,3,$969.09 
3/25/2026,Mouse,Accesorios,$208.75 ,10,"$2,087.50 "
4/6/2026,Audifonos,Audio,$444.94 ,1,$444.94 
4/11/2026,Laptop,Tecnologia,$50.83 ,7,$355.81 
3/19/2026,Audifonos,Audio,$570.00 ,5,"$2,850.00 "
3/24/2026,Audifonos,Audio,$919.59 ,10,"$9,195.90 "
4/4/2026,Mouse,Accesorios,$77.08 ,10,$770.80 
3/24/2026,Laptop,Tecnologia,$954.44 ,3,"$2,863.32 "
4/13/2026,Mouse,Accesorios,$259.91 ,10,"$2,599.10 "
3/21/2026,Audifonos,Audio,$447.17 ,3,"$1,341.51 "
4/8/2026,Audifonos,Audio,$52.07 ,4,$208.28 
3/22/2026,Laptop,Tecnologia,$416.88 ,1,$416.88 
4/4/2026,Monitor,Tecnologia,$301.96 ,10,"$3,019.60 "
4/12/2026,Monitor,Tecnologia,$235.03 ,3,$705.09 
3/20/2026,Audifonos,Audio,$447.85 ,10,"$4,478.50 "
4/12/2026,Teclado,Tecnologia,$950.44 ,10,"$9,504.40 "
4/2/2026,Laptop,Tecnologia,$892.82 ,8,"$7,142.56 "
3/18/2026,Mouse,Accesorios,$64.24 ,7,$449.68 
3/30/2026,Monitor,Tecnologia,$629.84 ,9,"$5,668.56 "
3/26/2026,Monitor,Tecnologia,$554.93 ,5,"$2,774.65 "
4/13/2026,Laptop,Tecnologia,$566.68 ,10,"$5,666.80 "
4/14/2026,Audifonos,Audio,$903.34 ,6,"$5,420.04 "
3/25/2026,Monitor,Tecnologia,$200.98 ,3,$602.94 
3/23/2026,Teclado,Tecnologia,$317.66 ,10,"$3,176.60 "
4/3/2026,Mouse,Accesorios,$945.21 ,6,"$5,671.26 "
4/6/2026,Audifonos,Audio,$158.40 ,10,"$1,584.00 "
4/13/2026,Teclado,Tecnologia,$901.69 ,6,"$5,410.14 "
3/17/2026,Audifonos,Audio,$613.43 ,4,"$2,453.72 "
3/22/2026,Laptop,Tecnologia,$87.59 ,7,$613.13 
3/20/2026,Monitor,Tecnologia,$222.96 ,4,$891.84 
3/28/2026,Mouse,Accesorios,$909.91 ,7,"$6,369.37 "
4/14/2026,Mouse,Accesorios,$154.55 ,7,"$1,081.85 "
3/22/2026,Teclado,Tecnologia,$90.50 ,6,$543.00 
4/10/2026,Mouse,Accesorios,$878.08 ,5,"$4,390.40 "
3/30/2026,Teclado,Tecnologia,$541.06 ,5,"$2,705.30 "
4/15/2026,Monitor,Tecnologia,$740.81 ,3,"$2,222.43 "
4/6/2026,Mouse,Accesorios,$438.12 ,9,"$3,943.08 "
3/20/2026,Audifonos,Audio,$242.32 ,2,$484.64 
4/4/2026,Laptop,Tecnologia,$348.07 ,4,"$1,392.28 "
4/10/2026,Mouse,Accesorios,$609.54 ,8,"$4,876.32 "
4/4/2026,Audifonos,Audio,$852.13 ,6,"$5,112.78 "
3/20/2026,Teclado,Tecnologia,$471.73 ,8,"$3,773.84 "
3/23/2026,Teclado,Tecnologia,$171.38 ,8,"$1,371.04 "
4/14/2026,Monitor,Tecnologia,$135.52 ,8,"$1,084.16 "
4/4/2026,Laptop,Tecnologia,$341.72 ,8,"$2,733.76 "
4/5/2026,Laptop,Tecnologia,$159.86 ,6,$959.16 
3/23/2026,Teclado,Tecnologia,$88.91 ,4,$355.64 
4/2/2026,Monitor,Tecnologia,$881.07 ,6,"$5,286.42 "
3/19/2026,Mouse,Accesorios,$53.55 ,9,$481.95 
3/26/2026,Teclado,Tecnologia,$987.78 ,4,"$3,951.12 "
3/30/2026,Audifonos,Audio,$416.09 ,3,"$1,248.27 "
4/4/2026,Mouse,Accesorios,$845.98 ,4,"$3,383.92 "
3/22/2026,Monitor,Tecnologia,$421.82 ,5,"$2,109.10 "
3/31/2026,Monitor,Tecnologia,$124.02 ,1,$124.02 
3/28/2026,Monitor,Tecnologia,$755.86 ,7,"$5,291.02 "
4/11/2026,Teclado,Tecnologia,$167.58 ,8,"$1,340.64 "
4/10/2026,Monitor,Tecnologia,$218.19 ,4,$872.76 
3/22/2026,Laptop,Tecnologia,$674.66 ,9,"$6,071.94 "
3/27/2026,Monitor,Tecnologia,$948.63 ,2,"$1,897.26 "
4/7/2026,Audifonos,Audio,$170.65 ,6,"$1,023.90 "
4/4/2026,Monitor,Tecnologia,$351.85 ,8,"$2,814.80 "
3/24/2026,Mouse,Accesorios,$283.24 ,3,$849.72 
3/27/2026,Mouse,Accesorios,$122.35 ,4,$489.40 
3/30/2026,Mouse,Accesorios,$517.50 ,9,"$4,657.50 "
,,,,,
